Path;Group;Permissions;Inheritance;Type;Operation
\\10.0.1.10\Departments17\;Domänen-Admins;FullControl;False;Allow;Set
\\10.0.1.10\Departments17\;GespettoUsers;ReadAndExecute;False;Allow;Set
\\10.0.1.10\Countries17\;Domänen-Admins;FullControl;False;Allow;Set
\\10.0.1.10\Countries17\;GespettoUsers;ReadAndExecute;False;Allow;Set
\\10.0.1.10\Homes17\;Domänen-Admins;FullControl;False;Allow;Set
\\10.0.1.10\Homes17\;GespettoUsers;ReadAndExecute;False;Allow;Set
\\10.0.1.10\Departments17\CorpManagement17\;CorpManagement;Modify;False;Allow;Set
\\10.0.1.10\Departments17\CorpManagement17\;Domänen-Admins;FullControl;False;Allow;Set
\\10.0.1.10\Departments17\Sales17\;Sales;Modify;True;Allow;Set
\\10.0.1.10\Departments17\Marketing17\;Marketing;Modify;True;Allow;Set
\\10.0.1.10\Departments17\Design17\;Design;Modify;True;Allow;Set
\\10.0.1.10\Departments17\TravSales17\;TravSales;Modify;True;Allow;Set
\\10.0.1.10\Countries17\Germany17\;Germany;Modify;False;Allow;Set
\\10.0.1.10\Countries17\Germany17\;Domänen-Admins;FullControl;False;Allow;Set
\\10.0.1.10\Countries17\UK17\;Germany;Modify;False;Allow;Set
\\10.0.1.10\Countries17\UK17\;Domänen-Admins;FullControl;False;Allow;Set
\\10.0.1.10\Countries17\Italy17\;Italy;Modify;False;Allow;Set
\\10.0.1.10\Countries17\Italy17\;Domänen-Admins;FullControl;False;Allow;Set
